Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Timeframe
01/01/2020,Oneoff,44.CB,44,cbonds,80000.0,77.58,1031,1
01/01/2020,Oneoff,44.SB,44,sbonds,10000.0,253.28,39,1
01/01/2020,Oneoff,44.GO,44,gold,0.0,143.95,0,1
01/01/2020,Oneoff,44.CA,44,cash,0.0,1,0,1
01/01/2020,Oneoff,45.ST,45,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,45.CB,45,cbonds,75000.0,77.58,966,1
01/01/2020,Oneoff,45.SB,45,sbonds,15000.0,253.28,59,1
01/01/2020,Oneoff,45.GO,45,gold,0.0,143.95,0,1
01/01/2020,Oneoff,45.CA,45,cash,0.0,1,0,1
01/01/2020,Oneoff,46.ST,46,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,46.CB,46,cbonds,70000.0,77.58,902,1
01/01/2020,Oneoff,46.SB,46,sbonds,20000.0,253.28,78,1
01/01/2020,Oneoff,46.GO,46,gold,0.0,143.95,0,1
01/01/2020,Oneoff,46.CA,46,cash,0.0,1,0,1
01/01/2020,Oneoff,47.ST,47,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,47.CB,47,cbonds,65000.0,77.58,837,1
01/01/2020,Oneoff,47.SB,47,sbonds,25000.0,253.28,98,1
01/01/2020,Oneoff,47.GO,47,gold,0.0,143.95,0,1
01/01/2020,Oneoff,47.CA,47,cash,0.0,1,0,1
01/01/2020,Oneoff,48.ST,48,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,48.CB,48,cbonds,60000.0,77.58,773,1
01/01/2020,Oneoff,48.SB,48,sbonds,30000.0,253.28,118,1
01/01/2020,Oneoff,48.GO,48,gold,0.0,143.95,0,1
01/01/2020,Oneoff,48.CA,48,cash,0.0,1,0,1
01/01/2020,Oneoff,49.ST,49,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,49.CB,49,cbonds,55000.00000000001,77.58,708,1
01/01/2020,Oneoff,49.SB,49,sbonds,35000.0,253.28,138,1
01/01/2020,Oneoff,49.GO,49,gold,0.0,143.95,0,1
01/01/2020,Oneoff,49.CA,49,cash,0.0,1,0,1
01/01/2020,Oneoff,50.ST,50,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,50.CB,50,cbonds,50000.0,77.58,644,1
01/01/2020,Oneoff,50.SB,50,sbonds,40000.0,253.28,157,1
01/01/2020,Oneoff,50.GO,50,gold,0.0,143.95,0,1
01/01/2020,Oneoff,50.CA,50,cash,0.0,1,0,1
01/01/2020,Oneoff,51.ST,51,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,51.CB,51,cbonds,45000.0,77.58,580,1
01/01/2020,Oneoff,51.SB,51,sbonds,45000.0,253.28,177,1
01/01/2020,Oneoff,51.GO,51,gold,0.0,143.95,0,1
01/01/2020,Oneoff,51.CA,51,cash,0.0,1,0,1
01/01/2020,Oneoff,52.ST,52,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,52.CB,52,cbonds,40000.0,77.58,515,1
01/01/2020,Oneoff,52.SB,52,sbonds,50000.0,253.28,197,1
01/01/2020,Oneoff,52.GO,52,gold,0.0,143.95,0,1
01/01/2020,Oneoff,52.CA,52,cash,0.0,1,0,1
01/01/2020,Oneoff,53.ST,53,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,53.CB,53,cbonds,35000.0,77.58,451,1
01/01/2020,Oneoff,53.SB,53,sbonds,55000.00000000001,253.28,217,1
01/01/2020,Oneoff,53.GO,53,gold,0.0,143.95,0,1
01/01/2020,Oneoff,53.CA,53,cash,0.0,1,0,1
01/01/2020,Oneoff,54.ST,54,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,54.CB,54,cbonds,30000.0,77.58,386,1
01/01/2020,Oneoff,54.SB,54,sbonds,60000.0,253.28,236,1
01/01/2020,Oneoff,54.GO,54,gold,0.0,143.95,0,1
01/01/2020,Oneoff,54.CA,54,cash,0.0,1,0,1
01/01/2020,Oneoff,55.ST,55,stocks,10000.0,194.59,51,1
