Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Purchase_num,Timeframe
15/04/2020,oneoff-rebal.,4.3.ST,4,stocks,0.0,165.54,0.0,0.0,12
15/04/2020,oneoff-rebal.,4.3.CB,4,cbonds,86699.5,79.25,1086.0,0,12
15/04/2020,oneoff-rebal.,4.3.SB,4,sbonds,4777.38,265.41,19.0,265.41,12
15/04/2020,oneoff-rebal.,4.3.GO,4,gold,0.0,161.85,0.0,0.0,12
15/04/2020,oneoff-rebal.,4.3.CA,4,cash,9808.0,1,10128.0,320.0,12
15/05/2020,oneoff-rebal.,4.4.ST,4,stocks,0.0,171.16,0.0,0.0,12
15/05/2020,oneoff-rebal.,4.4.CB,4,cbonds,88204.92,81.22,1082.0,0,12
15/05/2020,oneoff-rebal.,4.4.SB,4,sbonds,5098.2699999999995,268.33,19.0,0.0,12
15/05/2020,oneoff-rebal.,4.4.GO,4,gold,0.0,163.93,0.0,0.0,12
15/05/2020,oneoff-rebal.,4.4.CA,4,cash,10128.0,1,10343.0,215.0,12
15/06/2020,oneoff-rebal.,4.5.ST,4,stocks,0.0,177.85,0.0,0.0,12
15/06/2020,oneoff-rebal.,4.5.CB,4,cbonds,88410.21999999999,81.71,1079.0,0,12
15/06/2020,oneoff-rebal.,4.5.SB,4,sbonds,4993.959999999999,262.84,19.0,0.0,12
15/06/2020,oneoff-rebal.,4.5.GO,4,gold,0.0,162.33,0.0,0.0,12
15/06/2020,oneoff-rebal.,4.5.CA,4,cash,10343.0,1,10374.0,31.0,12
15/07/2020,oneoff-rebal.,4.6.ST,4,stocks,0.0,186.19,0.0,0.0,12
15/07/2020,oneoff-rebal.,4.6.CB,4,cbonds,89956.23000000001,83.37,1073.0,0,12
15/07/2020,oneoff-rebal.,4.6.SB,4,sbonds,4973.06,261.74,20.0,261.74,12
15/07/2020,oneoff-rebal.,4.6.GO,4,gold,0.0,170.34,0.0,0.0,12
15/07/2020,oneoff-rebal.,4.6.CA,4,cash,10374.0,1,10530.0,156.0,12
17/08/2020,oneoff-rebal.,4.7.ST,4,stocks,0.0,186.67,0.0,0.0,12
17/08/2020,oneoff-rebal.,4.7.CB,4,cbonds,87492.42000000001,81.54,1075.0,163.08,12
17/08/2020,oneoff-rebal.,4.7.SB,4,sbonds,5128.200000000001,256.41,20.0,0.0,12
17/08/2020,oneoff-rebal.,4.7.GO,4,gold,0.0,186.5,0.0,0,12
17/08/2020,oneoff-rebal.,4.7.CA,4,cash,10530.0,1,10315.0,0.0,12
15/09/2020,oneoff-rebal.,4.8.ST,4,stocks,0.0,188.44,0.0,0.0,12
15/09/2020,oneoff-rebal.,4.8.CB,4,cbonds,89332.5,83.1,1071.0,0,12
15/09/2020,oneoff-rebal.,4.8.SB,4,sbonds,5141.599999999999,257.08,20.0,0.0,12
15/09/2020,oneoff-rebal.,4.8.GO,4,gold,0.0,183.45,0.0,0.0,12
15/09/2020,oneoff-rebal.,4.8.CA,4,cash,10315.0,1,10478.0,163.0,12
15/10/2020,oneoff-rebal.,4.9.ST,4,stocks,0.0,193.25,0.0,0.0,12
15/10/2020,oneoff-rebal.,4.9.CB,4,cbonds,87489.98999999999,81.69,1073.0,163.38,12
15/10/2020,oneoff-rebal.,4.9.SB,4,sbonds,5197.799999999999,259.89,19.0,0,12
15/10/2020,oneoff-rebal.,4.9.GO,4,gold,0.0,178.92,0.0,0,12
15/10/2020,oneoff-rebal.,4.9.CA,4,cash,10478.0,1,10316.0,0.0,12
16/11/2020,oneoff-rebal.,4.10.ST,4,stocks,0.0,201.2,0.0,0.0,12
16/11/2020,oneoff-rebal.,4.10.CB,4,cbonds,86676.94,80.78,1072.0,0,12
16/11/2020,oneoff-rebal.,4.10.SB,4,sbonds,4894.400000000001,257.6,19.0,0.0,12
16/11/2020,oneoff-rebal.,4.10.GO,4,gold,0.0,177.15,0.0,0,12
16/11/2020,oneoff-rebal.,4.10.CA,4,cash,10316.0,1,10188.0,0.0,12
15/12/2020,oneoff-rebal.,4.11.ST,4,stocks,0.0,202.46,0.0,0.0,12
15/12/2020,oneoff-rebal.,4.11.CB,4,cbonds,86574.72,80.76,1069.0,0,12
15/12/2020,oneoff-rebal.,4.11.SB,4,sbonds,4849.37,255.23,19.0,0.0,12
15/12/2020,oneoff-rebal.,4.11.GO,4,gold,0.0,173.94,0.0,0,12
15/12/2020,oneoff-rebal.,4.11.CA,4,cash,10188.0,1,10161.0,0.0,12
01/01/2020,oneoff-rebal.,5.0.ST,5,stocks,0.0,194.59,0.0,0.0,12
01/01/2020,oneoff-rebal.,5.0.CB,5,cbonds,79984.98,77.58,1031.0,79984.98,12
01/01/2020,oneoff-rebal.,5.0.SB,5,sbonds,9877.92,253.28,39.0,9877.92,12
01/01/2020,oneoff-rebal.,5.0.GO,5,gold,0.0,143.95,0.0,0.0,12
01/01/2020,oneoff-rebal.,5.0.CA,5,cash,10000.0,1,10000.0,10000.0,12
15/01/2020,oneoff-rebal.,5.0.ST,5,stocks,0.0,196.77,0.0,0.0,12
15/01/2020,oneoff-rebal.,5.0.CB,5,cbonds,80923.18999999999,78.49,1027.0,0,12
15/01/2020,oneoff-rebal.,5.0.SB,5,sbonds,9894.69,253.71,39.0,0.0,12
15/01/2020,oneoff-rebal.,5.0.GO,5,gold,0.0,146.54,0.0,0.0,12
15/01/2020,oneoff-rebal.,5.0.CA,5,cash,10000.0,1,10081.0,81.0,12
17/02/2020,oneoff-rebal.,5.1.ST,5,stocks,0.0,205.91,0.0,0.0,12
17/02/2020,oneoff-rebal.,5.1.CB,5,cbonds,81225.43000000001,79.09,1027.0,0.0,12
17/02/2020,oneoff-rebal.,5.1.SB,5,sbonds,10240.619999999999,262.58,38.0,0,12
17/02/2020,oneoff-rebal.,5.1.GO,5,gold,0.0,150.91,0.0,0.0,12
17/02/2020,oneoff-rebal.,5.1.CA,5,cash,10081.0,1,10154.0,73.0,12
16/03/2020,oneoff-rebal.,5.2.ST,5,stocks,0.0,140.35,0.0,0.0,12
16/03/2020,oneoff-rebal.,5.2.CB,5,cbonds,78226.59,76.17,1033.0,457.02,12
16/03/2020,oneoff-rebal.,5.2.SB,5,sbonds,10010.34,263.43,37.0,0,12
16/03/2020,oneoff-rebal.,5.2.GO,5,gold,0.0,141.64,0.0,0,12
16/03/2020,oneoff-rebal.,5.2.CA,5,cash,10154.0,1,9839.0,0.0,12
15/04/2020,oneoff-rebal.,5.3.ST,5,stocks,0.0,165.54,0.0,0.0,12
15/04/2020,oneoff-rebal.,5.3.CB,5,cbonds,81865.25,79.25,1024.0,0,12
15/04/2020,oneoff-rebal.,5.3.SB,5,sbonds,9820.17,265.41,38.0,265.41,12
15/04/2020,oneoff-rebal.,5.3.GO,5,gold,0.0,161.85,0.0,0.0,12
15/04/2020,oneoff-rebal.,5.3.CA,5,cash,9839.0,1,10152.0,313.0,12
15/05/2020,oneoff-rebal.,5.4.ST,5,stocks,0.0,171.16,0.0,0.0,12
15/05/2020,oneoff-rebal.,5.4.CB,5,cbonds,83169.28,81.22,1019.0,0,12
15/05/2020,oneoff-rebal.,5.4.SB,5,sbonds,10196.539999999999,268.33,38.0,0.0,12
15/05/2020,oneoff-rebal.,5.4.GO,5,gold,0.0,163.93,0.0,0.0,12
15/05/2020,oneoff-rebal.,5.4.CA,5,cash,10152.0,1,10351.0,199.0,12
15/06/2020,oneoff-rebal.,5.5.ST,5,stocks,0.0,177.85,0.0,0.0,12
15/06/2020,oneoff-rebal.,5.5.CB,5,cbonds,83262.48999999999,81.71,1014.0,0,12
15/06/2020,oneoff-rebal.,5.5.SB,5,sbonds,9987.919999999998,262.84,39.0,262.84,12
15/06/2020,oneoff-rebal.,5.5.GO,5,gold,0.0,162.33,0.0,0.0,12
15/06/2020,oneoff-rebal.,5.5.CA,5,cash,10351.0,1,10360.0,9.0,12
15/07/2020,oneoff-rebal.,5.6.ST,5,stocks,0.0,186.19,0.0,0.0,12
15/07/2020,oneoff-rebal.,5.6.CB,5,cbonds,84537.18000000001,83.37,1008.0,0,12
15/07/2020,oneoff-rebal.,5.6.SB,5,sbonds,10207.86,261.74,40.0,261.74,12
15/07/2020,oneoff-rebal.,5.6.GO,5,gold,0.0,170.34,0.0,0.0,12
15/07/2020,oneoff-rebal.,5.6.CA,5,cash,10360.0,1,10510.0,150.0,12
17/08/2020,oneoff-rebal.,5.7.ST,5,stocks,0.0,186.67,0.0,0.0,12
17/08/2020,oneoff-rebal.,5.7.CB,5,cbonds,82192.32,81.54,1010.0,163.08,12
17/08/2020,oneoff-rebal.,5.7.SB,5,sbonds,10256.400000000001,256.41,40.0,0.0,12
17/08/2020,oneoff-rebal.,5.7.GO,5,gold,0.0,186.5,0.0,0,12
17/08/2020,oneoff-rebal.,5.7.CA,5,cash,10510.0,1,10295.0,0.0,12
15/09/2020,oneoff-rebal.,5.8.ST,5,stocks,0.0,188.44,0.0,0.0,12
15/09/2020,oneoff-rebal.,5.8.CB,5,cbonds,83931.0,83.1,1006.0,0,12
15/09/2020,oneoff-rebal.,5.8.SB,5,sbonds,10283.199999999999,257.08,40.0,0.0,12
15/09/2020,oneoff-rebal.,5.8.GO,5,gold,0.0,183.45,0.0,0.0,12
15/09/2020,oneoff-rebal.,5.8.CA,5,cash,10295.0,1,10450.0,155.0,12
15/10/2020,oneoff-rebal.,5.9.ST,5,stocks,0.0,193.25,0.0,0.0,12
15/10/2020,oneoff-rebal.,5.9.CB,5,cbonds,82180.14,81.69,1008.0,163.38,12
15/10/2020,oneoff-rebal.,5.9.SB,5,sbonds,10395.599999999999,259.89,39.0,0,12
15/10/2020,oneoff-rebal.,5.9.GO,5,gold,0.0,178.92,0.0,0,12
15/10/2020,oneoff-rebal.,5.9.CA,5,cash,10450.0,1,10302.0,0.0,12
16/11/2020,oneoff-rebal.,5.10.ST,5,stocks,0.0,201.2,0.0,0.0,12
16/11/2020,oneoff-rebal.,5.10.CB,5,cbonds,81426.24,80.78,1007.0,0,12
16/11/2020,oneoff-rebal.,5.10.SB,5,sbonds,10046.400000000001,257.6,39.0,0.0,12
16/11/2020,oneoff-rebal.,5.10.GO,5,gold,0.0,177.15,0.0,0,12
16/11/2020,oneoff-rebal.,5.10.CA,5,cash,10302.0,1,10177.0,0.0,12
