asset alloc,method,timeframe,cost,volatility,return
96,oneoff-rebal.,1,0.2909268544,2.1190042173,0.4433464340
97,DCA,1,0.2843321023,1.1513831471,0.6532923638
97,DCA-rebalance,1,0.2843321023,1.8622247872,0.6532923638
97,Oneoff,1,0.2843321023,1.1513831471,0.6532923638
97,oneoff-rebal.,1,0.2843321023,1.8622247872,0.6532923638
98,DCA,1,0.2782602416,0.9979017435,0.8440260700
98,DCA-rebalance,1,0.2782602416,1.6974793808,0.8440260700
98,Oneoff,1,0.2782602416,0.9979017435,0.8440260700
98,oneoff-rebal.,1,0.2782602416,1.6974793808,0.8440260700
99,DCA,1,0.2729709215,0.9251896503,1.0091840630
99,DCA-rebalance,1,0.2729709215,1.6226047038,1.0091840630
99,Oneoff,1,0.2729709215,0.9251896503,1.0091840630
99,oneoff-rebal.,1,0.2729709215,1.6226047038,1.0091840630
100,DCA,1,0.2686911809,0.9181211586,1.1467216550
100,DCA-rebalance,1,0.2683792779,1.6050541118,1.1526825355
100,Oneoff,1,0.2686911809,0.9181211586,1.1467216550
100,oneoff-rebal.,1,0.2683792779,1.6050541118,1.1526825355
101,DCA,1,0.2645823021,0.9565395419,1.2747871044
101,DCA-rebalance,1,0.2643065221,1.6447257691,1.2798460810
101,Oneoff,1,0.2645823021,0.9565395419,1.2747871044
101,oneoff-rebal.,1,0.2643065221,1.6447257691,1.2798460810
102,DCA,1,0.2609372384,1.0229857275,1.3883963728
102,DCA-rebalance,1,0.2606916511,1.7143203665,1.3927131041
102,Oneoff,1,0.2609372384,1.0229857275,1.3883963728
102,oneoff-rebal.,1,0.2606916511,1.7143203665,1.3927131041
103,DCA,1,0.2577023172,1.1039400447,1.4900030559
103,DCA-rebalance,1,0.2577023172,1.8104308253,1.4900030559
103,Oneoff,1,0.2577023172,1.1039400447,1.4900030559
103,oneoff-rebal.,1,0.2577023172,1.8104308253,1.4900030559
104,DCA,1,0.2549741848,1.1871915309,1.5773767236
104,DCA-rebalance,1,0.2547742312,1.8927678685,1.5805852102
104,Oneoff,1,0.2549741848,1.1871915309,1.5773767236
104,oneoff-rebal.,1,0.2547742312,1.8927678685,1.5805852102
105,DCA,1,0.2523276494,1.2744869279,1.6604214952
105,DCA-rebalance,1,0.2521464528,1.9908771282,1.6631884937
105,Oneoff,1,0.2523276494,1.2744869279,1.6604214952
105,oneoff-rebal.,1,0.2521464528,1.9908771282,1.6631884937
106,DCA,1,0.2499087556,1.3592409455,1.7356433388
106,DCA-rebalance,1,0.2499087556,2.0965732668,1.7356433388
106,Oneoff,1,0.2499087556,1.3592409455,1.7356433388
106,oneoff-rebal.,1,0.2499087556,2.0965732668,1.7356433388
107,DCA,1,0.2477177457,1.4411683599,1.8044241696
107,DCA-rebalance,1,0.2477177457,2.1916878292,1.8044241696
107,Oneoff,1,0.2477177457,1.4411683599,1.8044241696
107,oneoff-rebal.,1,0.2477177457,2.1916878292,1.8044241696
108,DCA,1,0.2458366696,1.5166564145,1.8648802928
108,DCA-rebalance,1,0.2458366696,2.2804470048,1.8648802928
